Region,Sales Channel,Company/Provider,Category,Segment,Volume Sales (Liters),Avg Price Per Liter (VND),Growth Rate (%),Numeric Distribution (%),Weighted Distribution (%),Out-of-Stock Rate (%),Market Share (%),Share of Shelf (%),Trial Rate (%),Repeat Rate (%),Sales Value (USD),Time,Volume Sales (Raw),Innovation Type
NORTH,Modern Trade,BigCo,TEA,Herbal Tea,115926,16861,5.0,79.4,21.31,7.67,20.66,30.11,40.03,23.59,300000.50,2021-08-01,70 kiloliters,Upsize
south,Modern Trade,MegaBeverages,Soft Drinks,Flavored Water,37555,14755,5.0,64.25,76.32,21.06,14.84,21.38,60.64,42.2,100000,August 2021,85000 liters,Downsize
south,Modern Trade,TinyStartups,water,Herbal Tea,26804,25152,5.0,56.81,29.65,3.43,5.67,11.28,32.19,29.34,1200000,2020-12,85000 liters,Downsize
south,Traditional Trade,BigCo,Water,Green Tea,58037,8134,-2.5,45.55,74.32,25.54,10.31,14.73,75.48,25.72,500000.0,2022-03,70000 liters,New Flavor
Central,Modern Trade,SmallBrand,TEA,Herbal Tea,70218,17322,10.5,87.72,75.83,22.75,7.52,34.8,58.46,25.71,100000,2022-03,85 kiloliters,New Segment
North,Traditional Trade,BigCo,TEA,Herbal Tea,48734,19448,10.5,72.58,57.65,38.36,26.46,21.97,29.24,36.67,string_value,2021/11/15,85000 liters,Repackage
North,Modern Trade,SmallBrand,water,Flavored Water,21892,26228,5.0,61.1,41.68,32.99,14.97,22.08,27.74,37.02,500000.0,2021-08-01,70 kiloliters,Downsize
SOUTH,Modern Trade,SmallBrand,Water,Sparkling Water,115070,10113,10.5,96.08,30.15,22.3,17.33,38.54,53.8,36.91,100000,August 2021,85000 liters,Upsize
South,Traditional Trade,MegaBeverages,Tea,Herbal Tea,69851,12584,-2.5,33.35,71.58,11.23,18.22,14.19,60.6,24.01,300000.50,August 2021,85 kiloliters,Completely New
north,Modern Trade,MegaBeverages,water,Herbal Tea,95142,11612,-2.5,89.51,62.1,36.34,19.55,20.22,52.96,23.83,1200000,August 2021,70 kiloliters,Upsize
SOUTH,Traditional Trade,MegaBeverages,tea,Sparkling Water,89538,14815,5.0,99.83,65.88,35.39,15.37,32.85,57.76,29.56,string_value,2022-03,85 kiloliters,New Flavor
NORTH,Traditional Trade,FreshDrinks,WATER,Flavored Water,95374,11309,5.0,92.09,20.61,7.66,1.52,30.84,37.91,25.27,500000.0,2021-08-01,70000 liters,Upsize
CENTRAL,Modern Trade,BigCo,Tea,Sparkling Water,25373,14971,0,86.73,84.93,45.74,10.71,12.1,69.96,33.76,300000.50,August 2021,85000 liters,Downsize
south,Traditional Trade,BigCo,soft drinks,Flavored Water,34685,12622,unknown,56.2,24.64,3.22,6.33,7.74,48.28,28.53,1200000,2020-12,70 kiloliters,Repackage
north,Modern Trade,BigCo,Tea,Green Tea,74276,6907,15.0,46.19,45.68,2.75,20.72,28.63,19.01,33.5,1200000,2021/11/15,85 kiloliters,Upsize
south,Modern Trade,MegaBeverages,tea,Flavored Water,48733,11265,0,81.44,48.19,9.37,2.64,11.79,70.13,26.9,300000.50,2021/11/15,70000 liters,New Flavor
NORTH,Traditional Trade,BigCo,SOFT DRINKS,Green Tea,41933,30485,5.0,51.32,20.09,45.47,17.35,37.06,50.48,28.22,500000.0,August 2021,70 kiloliters,Downsize
NORTH,Modern Trade,FreshDrinks,water,Green Tea,27650,15709,-2.5,42.32,54.8,26.0,7.11,6.91,49.3,26.32,1200000,2022-03,85000 liters,Completely New
South,Traditional Trade,SmallBrand,soft drinks,Flavored Water,42647,13813,0,85.06,72.7,39.4,28.52,14.1,27.49,47.6,string_value,2021/11/15,85000 liters,New Flavor
Central,Modern Trade,MegaBeverages,tea,Diet Soda,72890,22689,10.5,51.88,77.63,11.39,10.73,4.08,29.35,21.61,100000,2021/11/15,85 kiloliters,Repackage
north,Modern Trade,MegaBeverages,water,Flavored Water,115112,10517,5.0,94.01,81.56,24.51,10.43,28.73,37.65,31.73,string_value,2021/11/15,70 kiloliters,Upsize
NORTH,Modern Trade,MegaBeverages,soft drinks,Herbal Tea,60030,12488,5.0,88.84,54.14,17.91,27.78,35.87,64.52,27.22,1200000,2021/11/15,70000 liters,New Segment
North,Modern Trade,TinyStartups,Water,Herbal Tea,45934,27698,10.5,89.33,64.14,41.39,13.1,26.16,66.15,38.87,100000,August 2021,70000 liters,Downsize
central,Modern Trade,SmallBrand,WATER,Diet Soda,94125,17423,15.0,84.01,25.57,1.13,28.92,37.63,53.72,38.41,300000.50,2021-08-01,70000 liters,Upsize
central,Traditional Trade,TinyStartups,SOFT DRINKS,Green Tea,28116,28959,15.0,91.66,54.16,12.19,1.7,6.88,43.52,36.43,100000,2021-08-01,85 kiloliters,Downsize
South,Traditional Trade,SmallBrand,water,Diet Soda,120963,16870,15.0,86.4,30.84,7.63,9.88,5.33,41.41,46.38,100000,2022-03,70000 liters,Completely New
central,Traditional Trade,BigCo,soft drinks,Herbal Tea,97466,11948,10.5,72.18,45.88,42.96,20.32,33.86,36.51,32.19,100000,2020-12,70 kiloliters,Upsize
SOUTH,Traditional Trade,TinyStartups,Tea,Diet Soda,53058,11084,unknown,50.71,43.05,23.38,26.83,34.51,32.24,34.3,1200000,2021-08-01,85 kiloliters,Upsize
south,Traditional Trade,FreshDrinks,water,Flavored Water,57785,18871,-2.5,92.17,49.65,20.21,8.44,33.58,56.09,27.12,500000.0,2020-12,85000 liters,New Flavor
CENTRAL,Traditional Trade,BigCo,tea,Diet Soda,74232,11311,unknown,88.84,60.01,22.47,27.98,32.36,27.09,24.68,1200000,2021-08-01,85 kiloliters,New Flavor
SOUTH,Modern Trade,SmallBrand,Tea,Green Tea,63506,18604,-2.5,63.1,83.2,48.6,18.23,15.76,43.18,35.68,500000.0,2021-08-01,85 kiloliters,New Segment
Central,Modern Trade,BigCo,water,Flavored Water,44954,12553,5.0,32.74,47.61,42.51,24.23,10.26,34.48,30.01,300000.50,2022-03,85 kiloliters,New Flavor
South,Traditional Trade,FreshDrinks,Soft Drinks,Sparkling Water,60377,21026,-2.5,74.7,88.68,35.32,12.52,37.29,55.83,27.56,300000.50,2021/11/15,70 kiloliters,New Segment
Central,Traditional Trade,BigCo,WATER,Herbal Tea,59295,13232,-2.5,33.54,73.13,14.52,7.15,13.67,27.25,35.93,300000.50,2022-03,85000 liters,Upsize
central,Modern Trade,MegaBeverages,tea,Herbal Tea,32176,16769,5.0,94.84,55.8,8.26,27.43,17.14,24.95,29.28,300000.50,2021-08-01,85000 liters,Completely New
South,Modern Trade,FreshDrinks,TEA,Diet Soda,32811,11539,10.5,97.31,65.08,46.07,28.06,28.58,63.25,46.46,300000.50,2021/11/15,85 kiloliters,New Flavor
North,Modern Trade,MegaBeverages,soft drinks,Flavored Water,65489,10848,5.0,43.26,27.16,21.15,15.43,13.15,73.3,48.68,string_value,2021/11/15,85 kiloliters,New Flavor
south,Traditional Trade,MegaBeverages,water,Sparkling Water,46640,8380,5.0,77.35,79.12,13.94,1.19,33.13,50.07,25.06,1200000,2021/11/15,85 kiloliters,New Flavor
Central,Traditional Trade,MegaBeverages,tea,Flavored Water,33654,11491,-2.5,36.46,60.77,23.55,4.18,4.66,21.42,28.27,500000.0,2020-12,70 kiloliters,Repackage
north,Traditional Trade,TinyStartups,TEA,Herbal Tea,80340,10023,15.0,81.07,89.02,45.89,17.62,32.06,33.34,35.51,300000.50,2021-08-01,70 kiloliters,Upsize
south,Modern Trade,BigCo,tea,Flavored Water,87951,15372,15.0,54.31,64.55,19.35,1.69,24.87,60.26,31.03,string_value,August 2021,70000 liters,New Flavor
SOUTH,Modern Trade,MegaBeverages,Soft Drinks,Sparkling Water,80974,18587,0,77.67,78.39,28.13,12.51,23.77,32.41,39.43,string_value,2022-03,85000 liters,Repackage
SOUTH,Traditional Trade,SmallBrand,TEA,Diet Soda,66542,20194,10.5,56.1,75.98,40.15,9.8,19.42,50.2,35.51,string_value,2020-12,70000 liters,Repackage
North,Traditional Trade,TinyStartups,Tea,Green Tea,70601,14437,unknown,40.19,44.18,21.36,21.72,12.53,41.1,20.88,1200000,2022-03,70000 liters,Repackage
central,Modern Trade,MegaBeverages,Water,Flavored Water,56866,17497,5.0,58.43,38.17,11.68,2.61,19.63,50.24,48.93,300000.50,August 2021,85 kiloliters,New Flavor
SOUTH,Modern Trade,FreshDrinks,water,Green Tea,68526,16643,-2.5,37.89,50.13,49.73,15.17,19.1,21.77,40.8,string_value,2021/11/15,70 kiloliters,Upsize
SOUTH,Modern Trade,TinyStartups,tea,Herbal Tea,24494,19860,5.0,70.38,52.71,47.83,17.79,24.18,39.35,26.28,string_value,August 2021,70000 liters,New Segment
SOUTH,Modern Trade,TinyStartups,TEA,Diet Soda,129456,19213,15.0,32.87,36.81,42.17,18.9,12.7,47.0,49.73,300000.50,2022-03,70000 liters,Upsize
SOUTH,Traditional Trade,MegaBeverages,WATER,Diet Soda,53808,18510,5.0,66.91,82.62,34.42,12.75,4.95,53.64,22.03,1200000,August 2021,70000 liters,New Flavor
South,Modern Trade,BigCo,Soft Drinks,Flavored Water,75112,11820,0,92.05,57.98,14.74,9.83,7.51,62.59,29.61,string_value,2021-08-01,85 kiloliters,New Flavor
CENTRAL,Modern Trade,BigCo,soft drinks,Diet Soda,43866,14897,0,88.65,88.49,45.67,20.79,28.57,44.85,30.41,500000.0,August 2021,85 kiloliters,Completely New
Central,Modern Trade,BigCo,Soft Drinks,Flavored Water,54318,14233,unknown,91.79,76.7,13.78,25.58,2.85,31.76,29.15,100000,2021-08-01,70 kiloliters,New Flavor
south,Traditional Trade,MegaBeverages,soft drinks,Flavored Water,38581,12743,5.0,94.54,58.9,40.04,21.11,34.54,54.29,32.56,100000,August 2021,70000 liters,New Segment
North,Traditional Trade,BigCo,Soft Drinks,Green Tea,77865,13372,-2.5,37.32,86.29,45.91,28.03,28.39,23.65,40.46,100000,2021-08-01,70000 liters,Upsize
CENTRAL,Modern Trade,FreshDrinks,soft drinks,Diet Soda,61710,20497,10.5,39.01,55.34,30.15,21.8,31.19,42.32,22.01,1200000,2021-08-01,70 kiloliters,New Segment
north,Modern Trade,MegaBeverages,SOFT DRINKS,Flavored Water,50893,18039,5.0,68.99,82.1,40.15,23.17,33.77,30.5,34.82,string_value,August 2021,70 kiloliters,Downsize
central,Modern Trade,BigCo,SOFT DRINKS,Green Tea,95679,3354,-2.5,92.58,45.07,39.58,5.87,6.66,48.65,41.26,100000,2020-12,70 kiloliters,Upsize
South,Traditional Trade,TinyStartups,water,Sparkling Water,127779,8556,10.5,98.2,46.5,9.66,13.17,33.25,32.18,37.93,100000,2021/11/15,85000 liters,Upsize
central,Traditional Trade,MegaBeverages,Soft Drinks,Green Tea,54082,15136,-2.5,33.24,49.27,33.4,15.07,21.18,54.02,34.79,300000.50,2021/11/15,70 kiloliters,New Segment
South,Traditional Trade,BigCo,SOFT DRINKS,Green Tea,68460,11521,-2.5,54.9,58.26,4.67,8.43,35.65,26.54,25.68,string_value,2021/11/15,85 kiloliters,Upsize
central,Modern Trade,TinyStartups,soft drinks,Flavored Water,26738,16948,unknown,44.9,58.74,25.39,16.33,35.69,39.71,30.74,string_value,2021-08-01,85000 liters,New Segment
South,Traditional Trade,BigCo,tea,Herbal Tea,28824,25089,5.0,82.92,54.75,8.11,9.43,2.92,68.77,30.04,300000.50,2021/11/15,70 kiloliters,Downsize
SOUTH,Modern Trade,FreshDrinks,Water,Herbal Tea,40834,22364,10.5,74.81,41.42,20.82,20.94,16.55,51.77,25.37,string_value,2021-08-01,85 kiloliters,Downsize
South,Modern Trade,FreshDrinks,water,Herbal Tea,101943,12063,-2.5,38.39,84.9,41.65,14.64,22.0,53.67,44.7,500000.0,2020-12,70 kiloliters,Upsize
South,Modern Trade,MegaBeverages,WATER,Green Tea,88420,17400,10.5,63.85,61.2,49.36,14.31,27.78,41.85,22.88,1200000,August 2021,70 kiloliters,New Flavor
NORTH,Traditional Trade,TinyStartups,SOFT DRINKS,Flavored Water,68770,13763,15.0,77.98,48.54,15.9,29.53,12.88,53.47,43.84,300000.50,August 2021,85000 liters,New Segment
South,Modern Trade,MegaBeverages,Soft Drinks,Diet Soda,74682,16982,5.0,84.53,65.58,26.6,12.38,11.58,69.42,37.36,100000,2021-08-01,85 kiloliters,New Flavor
North,Traditional Trade,MegaBeverages,Tea,Green Tea,50216,15800,10.5,31.4,73.76,25.56,11.51,16.49,59.11,26.49,string_value,2021-08-01,70000 liters,Completely New
north,Traditional Trade,BigCo,WATER,Green Tea,72041,14920,5.0,92.33,87.25,47.72,10.24,21.04,50.1,37.43,500000.0,2020-12,70 kiloliters,Completely New
South,Modern Trade,BigCo,Soft Drinks,Flavored Water,59341,12827,5.0,69.85,54.97,23.93,26.95,38.14,49.34,21.83,500000.0,2021/11/15,85000 liters,New Flavor
north,Modern Trade,SmallBrand,WATER,Sparkling Water,85485,16684,5.0,86.83,27.85,34.96,15.4,30.96,67.84,47.34,1200000,2020-12,85 kiloliters,New Flavor
CENTRAL,Traditional Trade,MegaBeverages,tea,Green Tea,128166,12214,-2.5,86.56,50.85,46.09,18.4,18.31,47.15,44.7,500000.0,August 2021,70 kiloliters,Upsize
south,Modern Trade,MegaBeverages,Tea,Sparkling Water,80495,16973,5.0,43.29,53.53,18.67,6.24,4.07,27.06,17.94,string_value,August 2021,70000 liters,Completely New
north,Traditional Trade,MegaBeverages,TEA,Sparkling Water,127468,15072,10.5,37.71,82.79,45.11,16.69,8.4,50.11,46.08,string_value,2021/11/15,85 kiloliters,Upsize
SOUTH,Modern Trade,MegaBeverages,Water,Herbal Tea,129092,17877,unknown,80.49,47.64,45.87,8.96,19.33,25.3,40.03,500000.0,August 2021,85 kiloliters,Upsize
south,Traditional Trade,BigCo,soft drinks,Flavored Water,70766,17046,-2.5,40.95,86.73,46.53,22.19,32.93,55.76,44.42,string_value,2021-08-01,85000 liters,New Segment
SOUTH,Traditional Trade,MegaBeverages,SOFT DRINKS,Sparkling Water,52158,21546,-2.5,89.5,53.96,13.52,25.14,16.47,72.84,23.86,string_value,August 2021,70 kiloliters,New Flavor
North,Traditional Trade,FreshDrinks,TEA,Flavored Water,79564,10609,5.0,80.83,88.16,20.02,21.73,22.46,39.87,31.41,100000,2022-03,70 kiloliters,Upsize
Central,Traditional Trade,BigCo,SOFT DRINKS,Herbal Tea,78666,5694,15.0,88.93,20.57,43.52,22.18,35.89,40.7,34.96,300000.50,2021/11/15,85 kiloliters,New Flavor
central,Modern Trade,BigCo,tea,Flavored Water,35035,17970,5.0,50.93,82.92,17.96,15.86,36.72,67.77,44.76,string_value,2021/11/15,70 kiloliters,Downsize
North,Modern Trade,BigCo,WATER,Green Tea,51826,14002,15.0,52.16,85.18,30.01,21.65,10.2,65.94,31.68,string_value,2021/11/15,85 kiloliters,New Flavor
SOUTH,Traditional Trade,MegaBeverages,Tea,Sparkling Water,44518,23041,5.0,76.99,87.27,5.9,13.26,3.66,70.61,37.22,1200000,2022-03,70000 liters,Downsize
North,Traditional Trade,TinyStartups,WATER,Flavored Water,87911,15575,unknown,32.2,20.92,2.81,19.89,13.61,39.43,29.1,300000.50,2020-12,85000 liters,Repackage
NORTH,Modern Trade,BigCo,tea,Diet Soda,38996,21083,0,80.85,32.02,20.6,8.51,28.44,24.78,22.29,300000.50,2021-08-01,70 kiloliters,Downsize
North,Modern Trade,BigCo,Soft Drinks,Flavored Water,43681,21123,5.0,88.5,65.76,28.95,3.02,38.14,67.11,44.32,300000.50,2021/11/15,70 kiloliters,Downsize
south,Modern Trade,MegaBeverages,soft drinks,Sparkling Water,60596,22259,15.0,59.06,21.78,19.63,12.99,4.93,31.82,29.4,500000.0,August 2021,85000 liters,New Flavor
North,Modern Trade,FreshDrinks,Tea,Herbal Tea,80739,17425,10.5,83.54,24.45,28.89,14.39,3.08,31.07,45.75,100000,2021-08-01,70000 liters,Upsize
South,Modern Trade,FreshDrinks,Soft Drinks,Herbal Tea,53070,14295,-2.5,42.22,35.48,25.75,8.44,35.6,68.41,46.16,100000,August 2021,70000 liters,New Flavor
North,Modern Trade,MegaBeverages,soft drinks,Sparkling Water,23177,19203,15.0,52.56,55.87,34.29,22.1,30.43,48.83,25.84,1200000,2021-08-01,70000 liters,Downsize
CENTRAL,Traditional Trade,FreshDrinks,soft drinks,Green Tea,40492,16175,unknown,98.2,58.21,32.48,3.13,39.71,50.3,41.71,300000.50,2021-08-01,70000 liters,New Flavor
NORTH,Modern Trade,FreshDrinks,water,Green Tea,54807,17756,15.0,99.04,22.4,21.21,7.46,17.08,38.36,33.07,300000.50,August 2021,70000 liters,New Flavor
north,Modern Trade,TinyStartups,soft drinks,Herbal Tea,56951,18435,-2.5,65.88,31.93,21.25,22.71,17.81,64.94,46.23,string_value,August 2021,85 kiloliters,New Flavor
CENTRAL,Traditional Trade,TinyStartups,WATER,Herbal Tea,120808,11812,-2.5,95.4,54.98,7.04,13.68,8.55,22.12,45.03,500000.0,2021-08-01,70 kiloliters,Upsize
South,Modern Trade,BigCo,tea,Sparkling Water,30833,15973,5.0,66.59,61.58,25.66,21.45,6.4,26.54,31.21,500000.0,2021/11/15,70 kiloliters,Downsize
South,Modern Trade,BigCo,Soft Drinks,Green Tea,25041,25208,15.0,50.41,30.39,29.36,17.46,23.99,55.69,42.01,1200000,August 2021,70 kiloliters,Downsize
NORTH,Modern Trade,BigCo,SOFT DRINKS,Herbal Tea,52412,9136,unknown,48.68,47.92,23.82,28.57,15.84,73.21,29.16,100000,2022-03,85 kiloliters,New Flavor
Central,Modern Trade,MegaBeverages,soft drinks,Green Tea,26893,15944,10.5,95.07,83.31,16.29,18.34,5.05,58.27,20.39,300000.50,2022-03,85000 liters,Downsize
south,Modern Trade,SmallBrand,TEA,Herbal Tea,75566,6543,15.0,42.07,89.92,36.08,1.43,35.71,43.23,32.66,1200000,2021-08-01,70000 liters,Upsize
north,Traditional Trade,MegaBeverages,Water,Flavored Water,42166,23693,15.0,70.57,89.11,3.73,11.23,9.54,61.6,40.47,500000.0,2020-12,85000 liters,Downsize
CENTRAL,Modern Trade,BigCo,Water,Diet Soda,73104,18267,unknown,68.89,81.72,45.72,5.15,30.45,58.55,49.0,500000.0,2021-08-01,70000 liters,Repackage
SOUTH,Traditional Trade,FreshDrinks,Soft Drinks,Flavored Water,89898,10543,5.0,81.77,47.63,1.03,27.81,12.72,42.97,47.74,500000.0,2021-08-01,70000 liters,Upsize
south,Traditional Trade,MegaBeverages,TEA,Herbal Tea,69459,11275,5.0,64.95,68.06,48.12,4.02,32.89,61.87,37.03,300000.50,2021/11/15,85000 liters,New Flavor
central,Modern Trade,BigCo,TEA,Diet Soda,43846,22170,5.0,49.06,49.16,23.12,12.24,6.5,59.13,22.31,300000.50,2021/11/15,70 kiloliters,Downsize
CENTRAL,Traditional Trade,MegaBeverages,tea,Diet Soda,31410,17219,10.5,41.86,65.4,20.63,7.56,30.73,50.96,17.92,300000.50,2020-12,85 kiloliters,Completely New
CENTRAL,Modern Trade,MegaBeverages,tea,Herbal Tea,47769,12628,-2.5,73.46,41.66,12.82,25.55,5.73,51.14,33.17,string_value,2020-12,85000 liters,Downsize
CENTRAL,Traditional Trade,FreshDrinks,tea,Herbal Tea,37076,15984,10.5,80.33,62.43,0.5,9.95,18.98,34.72,40.12,100000,2020-12,70 kiloliters,Repackage
North,Traditional Trade,BigCo,Water,Green Tea,64422,16735,15.0,69.87,56.66,13.74,29.76,29.89,46.67,38.76,500000.0,2020-12,70000 liters,New Segment
CENTRAL,Modern Trade,BigCo,water,Herbal Tea,20081,11659,15.0,81.68,21.71,5.47,2.12,8.58,30.65,49.12,500000.0,2020-12,70 kiloliters,Downsize
SOUTH,Modern Trade,MegaBeverages,WATER,Sparkling Water,20645,20892,5.0,39.91,75.35,32.99,4.72,12.86,71.53,44.58,string_value,2021-08-01,70000 liters,Downsize
South,Modern Trade,BigCo,soft drinks,Herbal Tea,132300,15651,10.5,91.77,20.83,15.95,7.51,34.86,24.93,44.57,500000.0,2021-08-01,70000 liters,Upsize
north,Modern Trade,FreshDrinks,Tea,Sparkling Water,31342,21548,10.5,70.77,40.52,38.36,24.52,35.63,61.73,28.48,500000.0,2022-03,70 kiloliters,Downsize
SOUTH,Modern Trade,MegaBeverages,soft drinks,Herbal Tea,51821,28509,5.0,38.88,20.41,10.35,26.48,3.71,56.08,43.99,300000.50,2022-03,70000 liters,Downsize
South,Traditional Trade,MegaBeverages,Tea,Green Tea,50476,10570,-2.5,62.33,46.33,45.01,3.07,8.39,49.0,19.41,300000.50,August 2021,85 kiloliters,New Segment
CENTRAL,Traditional Trade,SmallBrand,Water,Sparkling Water,73408,16835,5.0,89.14,24.42,26.15,1.94,6.46,30.44,24.37,100000,2021-08-01,70 kiloliters,Upsize
SOUTH,Traditional Trade,FreshDrinks,Soft Drinks,Flavored Water,32482,18841,-2.5,92.83,83.95,5.73,22.59,8.83,70.34,25.17,500000.0,2020-12,85000 liters,New Flavor
North,Traditional Trade,BigCo,water,Sparkling Water,35080,16984,5.0,48.53,49.1,20.04,4.87,38.87,51.93,27.84,1200000,August 2021,70000 liters,New Segment
central,Traditional Trade,MegaBeverages,TEA,Green Tea,47832,15987,5.0,79.79,52.16,10.34,4.86,22.96,33.24,37.7,500000.0,2021/11/15,70000 liters,Downsize
Central,Traditional Trade,FreshDrinks,tea,Sparkling Water,62936,17830,unknown,37.0,44.49,9.98,1.65,19.79,17.65,24.77,500000.0,2021-08-01,85 kiloliters,Completely New
NORTH,Traditional Trade,FreshDrinks,Tea,Herbal Tea,128536,11239,unknown,32.35,63.93,25.32,2.44,39.41,39.34,30.75,100000,2022-03,85 kiloliters,Upsize
central,Modern Trade,BigCo,water,Herbal Tea,36214,11616,10.5,69.23,74.91,33.59,8.65,23.16,66.41,47.79,1200000,2021-08-01,85000 liters,New Flavor
Central,Modern Trade,SmallBrand,tea,Green Tea,65377,12160,5.0,78.64,65.37,45.58,2.89,27.12,55.15,23.6,500000.0,2021-08-01,70000 liters,New Flavor
North,Traditional Trade,MegaBeverages,water,Diet Soda,46142,16130,15.0,85.71,72.37,25.11,11.7,14.65,41.66,43.82,1200000,2021-08-01,85000 liters,New Segment
central,Traditional Trade,BigCo,Soft Drinks,Herbal Tea,47744,12839,15.0,53.82,83.42,48.29,25.15,16.52,61.56,45.87,300000.50,2021-08-01,85000 liters,New Flavor
NORTH,Modern Trade,BigCo,Tea,Flavored Water,61838,18185,10.5,30.46,80.45,47.08,10.46,24.59,33.71,33.56,300000.50,2021/11/15,70000 liters,Completely New
North,Modern Trade,BigCo,tea,Green Tea,67976,14547,10.5,63.57,67.18,43.25,22.11,4.65,38.23,36.84,1200000,2022-03,85000 liters,New Flavor
South,Modern Trade,TinyStartups,tea,Sparkling Water,45175,10263,10.5,31.11,35.02,25.0,3.72,11.72,40.57,22.69,500000.0,2021-08-01,85000 liters,Repackage
South,Modern Trade,BigCo,soft drinks,Sparkling Water,33734,13760,5.0,36.44,64.64,7.05,20.12,9.48,44.55,38.87,1200000,2021/11/15,85 kiloliters,New Segment
CENTRAL,Traditional Trade,BigCo,TEA,Flavored Water,68210,14382,5.0,52.87,55.43,10.9,10.19,2.6,47.4,40.15,1200000,August 2021,85 kiloliters,Repackage
Central,Modern Trade,TinyStartups,Water,Herbal Tea,71288,10715,5.0,60.6,70.21,32.38,22.74,22.4,64.47,48.52,300000.50,2021-08-01,85000 liters,New Flavor
north,Traditional Trade,MegaBeverages,WATER,Green Tea,30223,23675,10.5,49.56,78.31,21.09,4.95,23.32,36.68,22.63,1200000,2021/11/15,70000 liters,Downsize
central,Traditional Trade,BigCo,Tea,Flavored Water,78193,15660,10.5,70.73,71.99,7.34,27.04,16.59,28.43,49.23,string_value,2020-12,85 kiloliters,New Flavor
North,Traditional Trade,BigCo,tea,Herbal Tea,56261,19528,unknown,33.87,79.26,23.95,8.03,12.21,37.57,21.2,string_value,August 2021,85000 liters,New Flavor
North,Modern Trade,BigCo,SOFT DRINKS,Green Tea,94542,5535,10.5,40.12,24.47,0.87,11.24,26.78,34.6,45.04,300000.50,2022-03,70 kiloliters,Upsize
central,Modern Trade,BigCo,soft drinks,Sparkling Water,58634,11732,-2.5,78.67,22.21,36.69,28.56,7.12,25.6,36.05,500000.0,2021-08-01,70 kiloliters,New Segment
north,Traditional Trade,FreshDrinks,SOFT DRINKS,Green Tea,84470,16785,10.5,39.95,38.1,3.68,17.78,21.71,59.08,25.63,500000.0,2021-08-01,85000 liters,New Flavor
