Region,Sales Channel,Company/Provider,Category,Segment,Volume Sales (Liters),Avg Price Per Liter (VND),Growth Rate (%),Numeric Distribution (%),Weighted Distribution (%),Out-of-Stock Rate (%),Market Share (%),Share of Shelf (%),Trial Rate (%),Repeat Rate (%),Sales Value (USD),Time,Volume Sales
SOUTH URBAN,Modern Trade,Sentry Pepso,Carbonated Soft Drinks,Pepso Classic,150000,8864,8,95,98,3.0,35,45,60,50,N/A,2021-04-01 00:00:00,150000 liters
SOUTH URBAN,Modern Trade,Vinalac,YOGURT DRINKS,Probee Light,150000,9729,8,95,98,3.0,35,45,60,50,60806.25,2021-12-01 00:00:00,150000 liters
NULL,Modern Trade,URZ,Water,Great Aqua,80000,9922,unknown,75,80,6.0,20,30,45,35,33073.33,N/A,80.0 kiloliters
NULL,Traditional Trade,Sentry Pepso,Energy Drinks,Boostade,50000,9919,unknown,65,70,7.0,15,25,40,30,20664.58,2021-05-01 00:00:00,50000 liters
north urban,Modern Trade,Vinalac,NAN,Vinalac Pure,120000,8838,unknown,90,95,4.0,30,40,55,45,44190.0,2020-07-01 00:00:00,120000 liters
SOUTH RURAL,Traditional Trade,Sentry Pepso,JUICES,Tropicola Bliss,70000,9165,unknown,70,75,6.0,20,30,50,40,26731.25,N/A,70000 liters
SOUTH RURAL,Traditional Trade,Tran Hip Pat,Juices,THP Prime,70000,8031,3,70,75,6.0,20,30,50,40,23423.75,2020-07-01 00:00:00,70000 liters
CENTRAL RURAL,Traditional Trade,URZ,SNACK DRINKS,CeeTwo Light,50000,9048,unknown,65,70,7.0,15,25,40,30,18850.0,N/A,50000 liters
central urban,Modern Trade,Small Co A,Water,Fizz Delight,7706,8301,unknown,42,24,14.0,4,10,16,9,4813.11,2021-10-01 00:00:00,7.706 kiloliters
NORTH RURAL,Traditional Trade,Tran Hip Pat,Energy Drinks,Numba One,100000,9520,unknown,80,85,5.0,25,35,50,40,39666.67,March 2021,100.0 kiloliters
CENTRAL URBAN,Modern Trade,Sentry Pepso,Juices,Tropicola,nan,8099,unknown,75,80,6.0,20,30,45,35,26996.67,2022-02-01 00:00:00,nan liters
,Traditional Trade,Sentry Pepso,JUICES,Tropicola Bliss,70000,9165,3,70,75,6.0,20,30,50,40,26731.25,2023-12-01 00:00:00,70.0 kiloliters
NORTH RURAL,Modern Trade,Small Co G,CARBONATED SOFT DRINKS,Nectar Magic,29047,8308,2,15,38,20.0,4,8,11,7,N/A,May 2020,29.047 kiloliters
central urban,Modern Trade,Cora Cale,JUICES,Pure Juice,,8048,4,75,80,6.0,20,30,45,35,26826.67,April 2023, liters
south rural,Traditional Trade,Sentry Pepso,JUICES,Tropicola Bliss,70000,9165,3,70,75,6.0,20,30,50,40,26731.25,2022-03-01 00:00:00,70000 liters
,Modern Trade,Cora Cale,JUICES,Pure Juice,80000,8048,,75,80,6.0,20,30,45,35,N/A,2023-01-01 00:00:00,80000 liters
SOUTH URBAN,Modern Trade,Tran Hip Pat,ENERGY DRINKS,Numba One Power,150000,NULL,unknown,95,98,3.0,35,45,60,50,53150.0,2020-02-01 00:00:00,150.0 kiloliters
central urban,Modern Trade,Tran Hip Pat,JUICES,THP Fresh,80000,8438,unknown,75,80,6.0,20,30,45,35,28126.67,NULL,80000 liters
SOUTH RURAL,Traditional Trade,URZ,WATER,Great Elite,70000,,unknown,70,75,6.0,20,30,50,40,29140.42,May 2023,70.0 kiloliters
north rural,Traditional Trade,Sentry Pepso,Water,Aquavena,NULL,8570,7,80,85,5.0,25,35,50,40,35708.33,2022-10-01 00:00:00,NULL
CENTRAL URBAN,Modern Trade,Vinalac,Milk Tea,Vinalac Tea,80000,8477,nan,75,80,6.0,20,30,45,35,28256.67,February 2023,80.0 kiloliters
NORTH RURAL,Traditional Trade,Tran Hip Pat,NAN,Numba One,100000,9520,unknown,80,85,5.0,25,35,50,40,39666.67,2022-06-01 00:00:00,100000 liters
central urban,Modern Trade,Vinalac,NAN,Vinalac Tea,80000,8477,4,75,80,6.0,20,30,45,35,28256.67,2020-08-01 00:00:00,80000 liters
CENTRAL RURAL,Traditional Trade,Cora Cale,ENERGY DRINKS,Energy Boost,50000,9715,unknown,65,70,7.0,15,25,40,30,20239.58,September 2020,50000 liters
SOUTH URBAN,Modern Trade,URZ,JUICES,URZ Prime,150000,9958,8,95,98,3.0,35,45,60,50,62237.5,2024-06-01 00:00:00,150.0 kiloliters
north rural,Traditional Trade,Vinalac,YOGURT DRINKS,Probee,100000,9536,N/A,80,85,5.0,25,35,50,40,39733.33,October 2024,100.0 kiloliters
CENTRAL URBAN,Modern Trade,Tran Hip Pat,Nan,THP Fresh,80000,8438,4,75,80,6.0,20,30,45,35,28126.67,2022-04-01 00:00:00,80000 liters
south rural,Traditional Trade,Cora Cale,JUICES,Nectar Bliss,70000,8821,nan,70,75,6.0,20,30,50,40,25727.92,2023-09-01 00:00:00,70.0 kiloliters
south rural,Traditional Trade,URZ,Water,Great Elite,70000,9991,unknown,70,75,6.0,20,30,50,40,29140.42,2022-04-01 00:00:00,70000 liters
south urban,Modern Trade,Vinalac,YOGURT DRINKS,Probee Light,,9729,nan,95,98,3.0,35,45,60,50,60806.25,November 2020, liters
CENTRAL RURAL,Traditional Trade,Sentry Pepso,ENERGY DRINKS,Boostade,N/A,9919,6,65,70,7.0,15,25,40,30,20664.58,March 2021,N/A
south urban,Modern Trade,URZ,JUICES,URZ Prime,150000,9958,8,95,98,3.0,35,45,60,50,62237.5,June 2024,150.0 kiloliters
north rural,Traditional Trade,Tran Hip Pat,Energy Drinks,Numba One,100000,9520,unknown,80,85,5.0,25,35,50,40,39666.67,2023-05-01 00:00:00,100000 liters
SOUTH RURAL,Traditional Trade,Vinalac,MILK TEA,Vinalac Prime Tea,70000,9655,unknown,70,75,6.0,20,30,50,40,28160.42,December 2024,70.0 kiloliters
CENTRAL URBAN,Modern Trade,Vinalac,Milk Tea,Vinalac Tea,80000,8477,4,75,80,6.0,20,30,45,35,28256.67,July 2023,80000 liters
north urban,Modern Trade,URZ,NULL,CeeTwo,120000,NULL,unknown,90,95,4.0,30,40,55,45,45050.0,2021-09-01 00:00:00,120.0 kiloliters
south urban,Modern Trade,Sentry Pepso,Carbonated Soft Drinks,Pepso Classic,150000,8864,8,95,98,3.0,35,45,60,50,55400.0,July 2020,150000 liters
CENTRAL RURAL,Traditional Trade,Sentry Pepso,Energy Drinks,Boostade,50000,9919,unknown,65,70,7.0,15,25,40,30,20664.58,2024-03-01 00:00:00,50000 liters
north rural,Traditional Trade,Sentry Pepso,WATER,Aquavena,100000,8570,unknown,80,85,5.0,25,35,50,40,35708.33,2025-01-01 00:00:00,100000 liters
NORTH RURAL,Traditional Trade,URZ,NULL,URZ Fresh,100000,8713,7,80,85,5.0,25,35,50,40,36304.17,2021-08-01 00:00:00,100000 liters
south rural,Traditional Trade,Vinalac,MILK TEA,Vinalac Prime Tea,NULL,,3,70,75,6.0,20,30,50,40,28160.42,2022-06-01 00:00:00,NULL liters
NAN,Traditional Trade,Vinalac,N/A,Vinalac Prime Tea,70000,9655,3,70,75,6.0,20,30,50,40,28160.42,August 2023,70.0 kiloliters
north urban,Traditional Trade,Small Co E,Herbal Tea,Soda Spark,14295,NULL,unknown,27,22,13.0,2,5,22,14,1248.55,July 2020,14.295 kiloliters
SOUTH RURAL,Traditional Trade,Tran Hip Pat,JUICES,THP Prime,70000,8031,3,70,75,6.0,20,30,50,40,23423.75,2023-12-01 00:00:00,70000 liters
NORTH URBAN,Modern Trade,Sentry Pepso,Carbonated Soft Drinks,Pepso Zero,120000,nan,unknown,90,95,4.0,30,40,55,45,43010.0,2024-10-01 00:00:00,120.0 kiloliters
central rural,Modern Trade,Small Co H,Energy Drinks,Aqua Zest,28971,8736,-8,37,37,20.0,1,1,15,11,1606.57,2021-10-01 00:00:00,28.971 kiloliters
central urban,Modern Trade,Cora Cale,JUICES,Pure Juice,80000,8048,4,75,80,6.0,20,30,45,35,26826.67,2022-01-01 00:00:00,80000 liters
NORTH URBAN,Modern Trade,URZ,,CeeTwo,120000,9010,5,90,95,4.0,30,40,55,45,45050.0,2021-09-01 00:00:00,120000 liters
CENTRAL RURAL,Traditional Trade,Tran Hip Pat,Herbal Tea,Dr Tien Light,50000,8951,6,65,70,7.0,15,25,40,30,18647.92,2021-02-01 00:00:00,50000 liters
central urban,Modern Trade,Cora Cale,Juices,Pure Juice,N/A,8048,unknown,75,80,6.0,20,30,45,35,26826.67,2023-10-01 00:00:00,N/A liters
south urban,Modern Trade,URZ,Juices,URZ Prime,150000,9958,8,95,98,3.0,35,45,60,50,62237.5,October 2024,150000 liters
NORTH RURAL,Traditional Trade,Sentry Pepso,Water,Aquavena,100000,8570,7,80,85,72.71248882134384,25,35,50,40,35708.33,2024-11-01 00:00:00,100000 liters
CENTRAL RURAL,Traditional Trade,Cora Cale,ENERGY DRINKS,Energy Boost,50000,9715,unknown,65,70,7.0,15,25,40,30,20239.58,2024-05-01 00:00:00,50.0 kiloliters
NULL,Modern Trade,URZ,,Great Aqua,80000,9922,4,75,80,6.0,20,30,45,35,33073.33,2022-03-01 00:00:00,80000 liters
south rural,Traditional Trade,Vinalac,N/A,Vinalac Prime Tea,70000,9655,3,70,75,6.0,20,30,50,40,28160.42,July 2024,70.0 kiloliters
south urban,Modern Trade,Sentry Pepso,CARBONATED SOFT DRINKS,Pepso Classic,150000,8864,unknown,95,98,3.0,35,45,60,50,55400.0,2024-06-01 00:00:00,150000 liters
south urban,Modern Trade,Cora Cale,Carbonated Soft Drinks,Classic Soda,NULL,9339,8,95,98,3.0,35,45,60,50,58368.75,2022-07-01 00:00:00,NULL liters
CENTRAL RURAL,Traditional Trade,URZ,Snack Drinks,CeeTwo Light,50000,9048,6,65,70,7.0,15,25,40,30,18850.0,2022-01-01 00:00:00,50000 liters
SOUTH URBAN,Traditional Trade,Small Co F,MILK,Tea Tonic,41911,9452,4,17,39,14.0,4,6,23,9,3140.69,2021-04-01 00:00:00,41.911 kiloliters
NORTH URBAN,Traditional Trade,Small Co F,JUICES,Tea Tonic,40167,8545,unknown,16,33,56.91937361136705,2,2,26,6,2422.11,October 2023,40.167 kiloliters
south rural,Traditional Trade,URZ,Nan,Great Elite,70000,9991,unknown,70,75,6.0,20,30,50,40,29140.42,2023-11-01 00:00:00,70000 liters
NORTH RURAL,Traditional Trade,URZ,Juices,URZ Fresh,NULL,8713,7,80,85,5.0,25,35,50,40,36304.17,2023-09-01 00:00:00,NULL
central rural,Traditional Trade,Tran Hip Pat,Herbal Tea,Dr Tien Light,50000,8951,,65,70,7.0,15,25,40,30,18647.92,2023-03-01 00:00:00,50000 liters
NORTH RURAL,Traditional Trade,Vinalac,Yogurt Drinks,Probee,nan,9536,unknown,80,85,5.0,25,35,50,40,nan,2024-05-01 00:00:00,nan
NORTH URBAN,Modern Trade,Sentry Pepso,Carbonated Soft Drinks,Pepso Zero,120000,8602,unknown,90,95,4.0,30,40,55,45,43010.0,June 2020,120.0 kiloliters
north urban,Modern Trade,Cora Cale,Carbonated Soft Drinks,Lite Soda,120000,8115,5,90,95,4.0,30,40,55,45,40575.0,2024-08-01 00:00:00,120000 liters
SOUTH URBAN,Modern Trade,Vinalac,Yogurt Drinks,Probee Light,N/A,9729,unknown,95,98,79.1458422509872,35,45,60,50,NULL,2023-05-01 00:00:00,N/A
NORTH URBAN,Modern Trade,Tran Hip Pat,HERBAL TEA,Dr Tien,120000,8758,unknown,90,95,4.0,30,40,55,45,43790.0,May 2023,120000 liters
north urban,Modern Trade,Vinalac,Milk,Vinalac Pure,120000,8838,5,90,95,4.0,30,40,55,45,44190.0,,120000 liters
south urban,Modern Trade,Tran Hip Pat,ENERGY DRINKS,Numba One Power,150000,8504,8,95,98,3.0,35,45,60,50,53150.0,2024-03-01 00:00:00,150.0 kiloliters
south urban,Modern Trade,URZ,JUICES,URZ Prime,150000,9958,8,95,98,54.976995610392905,35,45,60,50,62237.5,2022-06-01 00:00:00,150.0 kiloliters
CENTRAL URBAN,Modern Trade,Cora Cale,JUICES,Pure Juice,80000,8048,4,75,80,6.0,20,30,45,35,26826.67,January 2025,80.0 kiloliters
north rural,Traditional Trade,Cora Cale,WATER,Flavored Aqua,100000,8815,unknown,80,85,5.0,25,35,50,40,36729.17,October 2024,100.0 kiloliters
south urban,Modern Trade,Tran Hip Pat,N/A,Numba One Power,150000,8504,8,95,98,3.0,35,45,60,50,53150.0,2021-02-01 00:00:00,150.0 kiloliters
NORTH URBAN,Modern Trade,URZ,Snack Drinks,CeeTwo,120000,9010,unknown,90,95,4.0,30,40,55,45,45050.0,2023-05-01 00:00:00,120000 liters
null,Traditional Trade,Tran Hip Pat,Energy Drinks,Numba One,100000,9520,7,80,85,5.0,25,35,50,40,39666.67,2024-06-01 00:00:00,100.0 kiloliters
SOUTH RURAL,Traditional Trade,Sentry Pepso,Juices,Tropicola Bliss,70000,9165,3,70,75,6.0,20,30,50,40,26731.25,2024-05-01 00:00:00,70000 liters
